length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.24,0.74,1,[5885836.59409196]
10000000.0,0.15,0.075,0.24,0.76,1,[5999604.52343736]
10000000.0,0.15,0.075,0.24,0.78,1,[6090997.74313727]
10000000.0,0.15,0.075,0.24,0.8,1,[6144327.51459608]
10000000.0,0.15,0.075,0.24,0.8200000000000001,1,[6127042.91859742]
10000000.0,0.15,0.075,0.24,0.8400000000000001,1,[5961942.54514991]
10000000.0,0.15,0.075,0.24,0.86,1,[5427412.49274921]
10000000.0,0.15,0.075,0.24,0.88,1,[3713623.5653046]
10000000.0,0.15,0.075,0.26,0.02,1,[161635.42554466]
10000000.0,0.15,0.075,0.26,0.04,1,[323260.73749638]
10000000.0,0.15,0.075,0.26,0.06,1,[484872.88336003]
10000000.0,0.15,0.075,0.26,0.08,1,[646469.02556605]
10000000.0,0.15,0.075,0.26,0.1,1,[808046.27142445]
10000000.0,0.15,0.075,0.26,0.12000000000000001,1,[969601.54346873]
10000000.0,0.15,0.075,0.26,0.13999999999999999,1,[1131131.49051842]
