desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 13, SKR: 1424125.184159186
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 13, SKR: 1453671.6106703212
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 13, SKR: 1663281.8696224
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 13, SKR: 1697889.756238631
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 13, SKR: 1773557.3946796032
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 14, SKR: 404260.23080793576
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 14, SKR: 415185.6269217893
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 14, SKR: 426110.6415670737
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 14, SKR: 437035.16353552946
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 14, SKR: 447958.99562400323
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 14, SKR: 458881.81169751426
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 14, SKR: 469803.0567955175
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 14, SKR: 480721.73053560103
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 14, SKR: 491635.87527772883
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 14, SKR: 502541.1915764224
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 14, SKR: 513426.4746692102
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 14, SKR: 524252.97467815486
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 14, SKR: 534778.5150828441
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 14, SKR: 1364818.6483575427
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 14, SKR: 1394482.0312181902
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 14, SKR: 1424130.0230719734
