mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.48000000000000004, factor_x_mud: 1, SKR: [1509141.6908639]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.5, factor_x_mud: 1, SKR: [1571780.02863551]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.52, factor_x_mud: 1, SKR: [1634372.58004442]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.54, factor_x_mud: 1, SKR: [1696912.29660676]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.56, factor_x_mud: 1, SKR: [1759390.70457622]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.5800000000000001, factor_x_mud: 1, SKR: [1821797.53440828]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.6, factor_x_mud: 1, SKR: [1884120.23031524]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.62, factor_x_mud: 1, SKR: [1946343.29259482]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.64, factor_x_mud: 1, SKR: [2008447.38300053]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.66, factor_x_mud: 1, SKR: [2070408.08840166]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.68, factor_x_mud: 1, SKR: [2132194.18200323]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.7000000000000001, factor_x_mud: 1, SKR: [2193765.12962661]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.7200000000000001, factor_x_mud: 1, SKR: [2255067.43379516]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.74, factor_x_mud: 1, SKR: [2316029.13897518]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.76, factor_x_mud: 1, SKR: [2376551.33519435]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.78, factor_x_mud: 1, SKR: [2436494.58321113]
mpn_s: 0.15, mpn_d: 0.075, desired_p_decoy: 0.9600000000000001, desired_p_z_alice: 0.8, factor_x_mud: 1, SKR: [2495656.38217396]
